opt,mode,bound,OpenMP,time
O0,baseline,var,OFF,0.516304
O0,baseline,var,ON,0.0520088
O0,baseline,const,OFF,0.500666
O0,baseline,const,ON,0.0508366
O0,const,var,OFF,0.510829
O0,const,var,ON,0.0508588
O0,const,const,OFF,0.501028
O0,const,const,ON,0.0593148
O0,volatile,var,OFF,0.499013
O0,volatile,var,ON,0.050894
O0,volatile,const,OFF,0.496052
O0,volatile,const,ON,0.0513809
O0,restrict,var,OFF,0.497481
O0,restrict,var,ON,0.0506543
O0,restrict,const,OFF,0.49811
O0,restrict,const,ON,0.0516642
O1,baseline,var,OFF,0.0263475
O1,baseline,var,ON,0.0233515
O1,baseline,const,OFF,0.025224
O1,baseline,const,ON,0.0232966
O1,const,var,OFF,0.0262129
O1,const,var,ON,0.0223042
O1,const,const,OFF,0.0254221
O1,const,const,ON,0.0226871
O1,volatile,var,OFF,0.0338275
O1,volatile,var,ON,0.0224111
O1,volatile,const,OFF,0.0339894
O1,volatile,const,ON,0.0224719
O1,restrict,var,OFF,0.0266388
O1,restrict,var,ON,0.0230485
O1,restrict,const,OFF,0.0259875
O1,restrict,const,ON,0.0224263
O2,baseline,var,OFF,0.0251652
O2,baseline,var,ON,0.0233378
O2,baseline,const,OFF,0.0241028
O2,baseline,const,ON,0.0222038
O2,const,var,OFF,0.0239393
O2,const,var,ON,0.0225578
O2,const,const,OFF,0.0239925
O2,const,const,ON,0.0228169
O2,volatile,var,OFF,0.0363546
O2,volatile,var,ON,0.0223322
O2,volatile,const,OFF,0.0338645
O2,volatile,const,ON,0.0223312
O2,restrict,var,OFF,0.0235292
O2,restrict,var,ON,0.0221544
O2,restrict,const,OFF,0.024348
O2,restrict,const,ON,0.0226906
O3,baseline,var,OFF,0.0266211
O3,baseline,var,ON,0.0237224
O3,baseline,const,OFF,0.0237538
O3,baseline,const,ON,0.0227876
O3,const,var,OFF,0.0253832
O3,const,var,ON,0.022377
O3,const,const,OFF,0.0256181
O3,const,const,ON,0.0225443
O3,volatile,var,OFF,0.0359737
O3,volatile,var,ON,0.0222338
O3,volatile,const,OFF,0.0349984
O3,volatile,const,ON,0.022386
O3,restrict,var,OFF,0.0237445
O3,restrict,var,ON,0.0222439
O3,restrict,const,OFF,0.0243081
O3,restrict,const,ON,0.0225449
Os,baseline,var,OFF,0.253536
Os,baseline,var,ON,0.0273176
Os,baseline,const,OFF,0.254751
Os,baseline,const,ON,0.0282976
Os,const,var,OFF,0.251267
Os,const,var,ON,0.0275815
Os,const,const,OFF,0.251223
Os,const,const,ON,0.0290743
Os,volatile,var,OFF,0.258953
Os,volatile,var,ON,0.0288882
Os,volatile,const,OFF,0.255341
Os,volatile,const,ON,0.0297006
Os,restrict,var,OFF,0.245107
Os,restrict,var,ON,0.027432
Os,restrict,const,OFF,0.252134
Os,restrict,const,ON,0.0259732
Ofast,baseline,var,OFF,0.0262615
Ofast,baseline,var,ON,0.0233274
Ofast,baseline,const,OFF,0.0241362
Ofast,baseline,const,ON,0.0225998
Ofast,const,var,OFF,0.0241092
Ofast,const,var,ON,0.0222207
Ofast,const,const,OFF,0.025334
Ofast,const,const,ON,0.0226073
Ofast,volatile,var,OFF,0.0350562
Ofast,volatile,var,ON,0.0225935
Ofast,volatile,const,OFF,0.0343582
Ofast,volatile,const,ON,0.0228782
Ofast,restrict,var,OFF,0.025628
Ofast,restrict,var,ON,0.0228342
Ofast,restrict,const,OFF,0.024108
Ofast,restrict,const,ON,0.0223436
Og,baseline,var,OFF,0.262142
Og,baseline,var,ON,0.0269656
Og,baseline,const,OFF,0.259131
Og,baseline,const,ON,0.026999
Og,const,var,OFF,0.265141
Og,const,var,ON,0.0261409
Og,const,const,OFF,0.261846
Og,const,const,ON,0.0276036
Og,volatile,var,OFF,0.274466
Og,volatile,var,ON,0.0263268
Og,volatile,const,OFF,0.272777
Og,volatile,const,ON,0.0404016
Og,restrict,var,OFF,0.266856
Og,restrict,var,ON,0.0264183
Og,restrict,const,OFF,0.264563
Og,restrict,const,ON,0.030351
